"Mots";"Occurrence"
"Yang level 陽平(5)";"1"
"raw / flat (partition)";"1"
"3D[1]";"1"
"Dynamic Image Processing";"1"
"Merging to HDR from LDR images";"1"
"High court judicial placement method";"1"
"memory efficiency";"1"
"FTP";"4"
"American";"1"
"RTSP (RTSPU, RTSPT)";"1"
"Ovid";"1"
"Default init system";"1"
"Speed limit";"1"
"Guest CPU";"1"
"File Change Log";"1"
"Power supply";"2"
"Out-of-the-box shopping cart";"1"
"Current version (year)";"1"
"use simultaneously different application";"1"
"LAN Sync";"1"
"XZ ZIPx";"1"
"Trend Prediction";"1"
"Manual compare alignment";"1"
"Specialization";"1"
"Audio Video Streaming";"1"
"Most recent version";"1"
"SSD Write Optimization (SSD degradation, I/O optimization, etc.)";"1"
"Explicit processor declarations";"1"
"ACLs";"1"
"Signal quality/coverage area";"1"
"Open source";"8"
"Security Certification";"1"
"Lens mount";"3"
"macOS";"33"
"3D support?";"1"
"secp384r1 NIST P-384 (24)[81]";"1"
"File manager";"6"
"Global Search";"1"
"Vue";"1"
"Hosted Platform";"1"
"Graphical installation procedure";"1"
"Thickness (mm)";"1"
"Other graphics file formats";"1"
"Extract Playcounts";"1"
"OGM";"1"
"WWW";"1"
"# dimensions";"1"
"Multiple undo-redo";"1"
"Other abilities";"2"
"thumbnails (sizes)";"1"
"Web protection";"10"
"PowerPC";"1"
"Raster images (JPEG, TIFF, etc.)";"1"
"Encrypts files";"1"
"Target audience";"1"
"DAV / HTTP(S)";"1"
"Delta updates";"1"
"Integrated Browser";"1"
"Append-only support? [2]";"1"
"Licence and version";"1"
"Data Export Types";"1"
"HPUX";"1"
"LDAP v3";"1"
"Tigase";"2"
"LDAP v2";"1"
"Intersect";"1"
"ALAC";"2"
"Network Behavior Analysis";"1"
"Spamtraps";"1"
"Look-ahead";"1"
"ALPN [174]";"1"
"Cyclic/continuous ?";"4"
"Public";"1"
"Norwegian (Bokmål)";"1"
"UNIX";"3"
"Family view";"1"
"Perfect-use failure rate (%)";"1"
"Mode Z / Remote Compression";"1"
"Runs on Windows";"1"
"Resolution (px)";"1"
"FireWire";"1"
"Raster filters";"1"
"Nation";"2"
"Triple DES";"1"
"X3F Sigma";"1"
"Max job submitted";"1"
"Autocorrection";"1"
"Faronics Power Save[6]";"1"
"af_alg";"1"
"256 colors";"1"
"DDIs";"2"
"Archive format";"1"
"SunOS";"2"
"MS SQL Server";"1"
"MIME type[2]";"4"
"Schedule timed recordings";"1"
"sect409r1 NIST B-409 (12)[81]";"1"
"Fire extinguisher required";"1"
"Podcast";"1"
"Cost estimate";"1"
"Charter Spectrum";"1"
"File access control";"1"
"English";"39"
"Copy Album Artwork";"1"
"Skiable area (acres)";"1"
"Look-behind";"1"
"HTML Compliant";"1"
"Media database";"1"
"pls";"1"
"background checks";"1"
"Extra features";"1"
"XML-aware";"1"
"White balance correction";"1"
"Integrated Search Service (retention / $$$/yr)";"1"
"secp160k1 (15)[81]";"1"
"OLAP server";"8"
"RMVB";"3"
"sect233k1 NIST K-233 (6)[81]";"1"
"Hybrid Option15";"1"
"TLS proxy";"1"
"Metronome";"2"
"Geostationary launches";"1"
"Endian- ness";"1"
"Remote control";"2"
"Point of sale order management";"1"
"Matroska";"2"
"Mail Server";"1"
"Character set";"1"
"Multi Co";"1"
"OMF";"1"
"Fossil";"1"
"Stable version";"1"
"ISO/IEC 26300:2006";"4"
"HMAC-SHA1";"1"
"Most recent release";"1"
"Content dependent [37]";"1"
"Project";"2"
"FX Now";"1"
"Bookmark";"1"
"Plasma Mobile";"1"
"MathML";"1"
"Prototype & script. aculo.us[10]";"1"
"Max exec node";"1"
"Online grow";"1"
"Compatibility";"1"
"add and remove physical volumes";"1"
"UI and version";"1"
"Web-based";"1"
"Online editing";"1"
"Fabrication requirements";"5"
"Assemblers";"1"
"Starts up to previous state[Note 11]";"1"
"hotkeys";"1"
"supports IPv6?";"1"
"Email / NNTP interface";"1"
"por";"1"
"E-mail";"1"
"Redirection";"1"
"Conversation[Note 2]";"1"
"Sharpening";"1"
"M68k";"1"
"Change TTL? (Transparent to traceroute)";"1"
"LDAP Support";"1"
"Book store(s)";"1"
"LINQ[14]";"1"
"HTML5-compliant parsing";"1"
"No.";"6"
"If not found";"1"
"MySQLi";"1"
"possibility of extended customization";"1"
"Server-side scripting";"1"
"Simulation?";"1"
"Landing type";"2"
"Release binaries";"1"
"Client side: all-free JS code";"1"
"Cont. shtg";"1"
"Commodore 64";"1"
"Managed";"1"
"Organises Projects";"1"
"FM radio";"1"
"Prince XML";"3"
"Cygwin";"2"
"Community website support";"1"
"Configurable titlebar buttons";"1"
"Unread message tracking";"1"
"Manager";"7"
"MAPI/RPC";"1"
"Network file server";"1"
"Minix";"1"
"Metering zones";"1"
"CPU time available for the autonomy software";"1"
"CiteSeer";"1"
"ECDHE-RSA (forward secrecy)[81]";"1"
"Partial";"1"
"First public release - date (version)";"1"
"Markup type";"1"
"Efficiency";"5"
"sect409k1 NIST K-409 (11)[81]";"1"
"rfind(string,substring) returns integer";"1"
"Server (library)";"1"
"RAM disk, tmpfs";"1"
"Colored directory listings";"1"
"eComStation";"1"
"REVERSE";"2"
"keyword";"1"
"Office Integration";"1"
"TI-BASIC";"1"
"Globbing qualifiers (filename generation based on file attributes)";"1"
"Interactivity support";"1"
"Mounts?";"1"
"Outer joins";"1"
"Code coverage";"4"
"SMB/CIFS";"1"
"NAME";"2"
"PA/DSS certified";"1"
"ROLAP";"1"
"XCF";"1"
"Issue tracking system";"1"
"File type";"1"
"ORA";"1"
"Revision control";"2"
"Spreadsheet Software";"1"
"CAPI";"1"
"Source code language(s)";"1"
"English (traditional)";"1"
"Initial Release Date";"1"
"CodeTextArea";"1"
"Toolchain";"2"
"Main memory";"1"
"HDD/SSD bays";"1"
"hdd (Parallels)";"1"
"UDMA support";"3"
"Maximum disk size per VM guest";"1"
"Non-free firmware required";"1"
"TINTIN";"1"
"Product reviews";"1"
"UnixWare";"1"
"Volume (mm³)";"1"
"other format";"1"
"FedEx";"3"
".25";"4"
"Encryption Type";"1"
"highlighting and linking of generated doc";"1"
"Danish";"4"
"Data Domain";"1"
"Intended use";"1"
"Slideshows";"1"
"Meaning";"20"
"Reward points";"1"
"XEP";"1"
"Author or Based On";"1"
"Stable release";"1"
"Native UTF-16 support[Note 1]";"1"
"OTR";"1"
"List Price (USD)";"1"
"sect283r1 NIST B-283 (10)[81]";"1"
"Windows Mobile";"1"
"Helene";"1"
"loongson";"1"
"Embedded in";"7"
"Special";"1"
"Development";"5"
"Process grouping";"1"
"Established";"1"
"Descendant narrative reports";"1"
"Tandy";"1"
"Reflex?";"1"
"3D or Animated pieces";"1"
"Boot time";"1"
"Name server";"1"
"Patch creation";"1"
"Other OS";"1"
"Panorama leveling";"1"
"Playlists (and channels)";"1"
"Is a tracker";"1"
"XFS";"2"
"Source lines of code";"1"
"SaaS";"2"
"Ukraine";"9"
"JFFS";"1"
"Inner joins";"1"
"Pre-made sessions";"1"
"Build tools";"1"
"Web";"2"
"GET";"1"
"Country";"27"
"Wireless network";"2"
"EPIX";"1"
"Hash Web seeding";"1"
"Remote uploading?";"1"
"API manual";"1"
"Site";"2"
"Platforms supported";"1"
"Filedate";"1"
"File systems supported";"1"
"Serverless (No server required)";"1"
"Initial release year";"2"
"Plastic";"1"
"Curve383187 [154]";"1"
"Access server";"1"
"Graphical editor?";"1"
"Polylines";"1"
"LHA/LZH";"2"
"Text editor";"1"
"Documentation integration/generation, reporting";"1"
"Chronology view";"1"
"Multilingual[1]";"1"
"iək";"1"
"Computing platform";"1"
"length(string) returns an integer number";"1"
"Unicode filenames";"2"
"""newspaper""-like";"1"
"Build system";"1"
"Anubis";"1"
"Have a GUI";"1"
"Delete column";"1"
"Magnet link";"1"
"Java/C++ statement";"1"
"Authentication";"2"
"Sound support";"1"
"Operating environments";"1"
"GNU Bazaar";"1"
"XIP";"1"
"Apple ISO9660";"1"
"Method of operation";"1"
"Open Source";"2"
"Sensor size";"1"
"LDAP";"2"
"Frame size limit";"1"
"ATI r300 free software driver";"1"
"Audio/VoIP support";"1"
"GeoRSS";"1"
"TTS Support (read aloud)";"1"
".75";"4"
"show all data in all fields";"1"
"Diagramming software";"1"
"FCrypt";"1"
"Austria";"9"
"Oldest non-EOL version[Note 1]";"1"
"Wildcard completion";"1"
"Technology";"2"
"CodeJar";"1"
"iɛn";"1"
"Python";"2"
"Prog Language";"2"
"Limit on x64";"1"
"Just-in-Time Indexing";"1"
"GIF";"3"
"Device";"1"
"Package format";"1"
"Zero knowledge2";"1"
"Flag";"2"
"Thing that is liked";"1"
"GIN";"1"
"WebM";"1"
"Shared Media Database";"1"
"Main dialect";"3"
"Flat";"1"
"DNA charts";"1"
"2018[170]";"1"
"User base in Active Directory";"1"
"Length (mm)";"1"
"Lowest ISO";"1"
"Scanner support";"1"
"VRAM";"1"
"WYSIWYG editor";"1"
"Startup/shutdown scripts";"1"
"RAM use (MB)";"1"
"Unix-like";"1"
"Type inheritance";"1"
"Customize transparent";"1"
"Max NUMBER size";"1"
"DVD-R/RW/RAM";"1"
"Licensing";"1"
"Rotation Lock";"1"
"MIDI(xmi)";"1"
"ECHO[19]";"1"
"RESUME";"2"
"Total persons";"1"
"Other UI";"1"
"ICalendar events";"1"
"Autocomplete";"6"
"VOB[59]";"1"
"CloudAV";"3"
"C compiler";"1"
"Folders";"2"
"Sage Pay Direct";"1"
"Thread safety";"1"
"vCard Synchronization";"1"
"SMTP AUTH";"1"
"Tail-Call Optimization";"1"
"First public release";"8"
"REST";"1"
"XML";"1"
"Audio compression format";"4"
"FSB/HT Frequency (MHz)";"7"
"File versioning";"1"
"Application-defined";"1"
"Specifiable base index";"1"
"Preferred license[g 1]";"1"
"Default File System";"1"
"CA Harvest";"1"
"ICalendar VAVAILABILITY (RFC 7953)";"1"
"Size";"3"
"Product";"16"
"compare(string1,string2) returns integer.";"1"
"iOS";"31"
"Private[Note 3]";"1"
"Design";"2"
"Creates?";"1"
"Decimal";"1"
"Royalty free";"1"
"2015[167]";"1"
"Multiplaying";"1"
"TCP/UDP destination port(s)";"1"
"Encrypted storage";"1"
"WAVE chunks";"1"
"EdgeHTML";"5"
"ReactOS";"1"
".fb2";"2"
"Cost and usage limits";"1"
"Sidebands?";"1"
"Method";"1"
"Apache";"1"
"System-versioned Tables";"1"
"Unlimited number of contacts";"1"
"Stock control";"1"
"Password protection";"1"
"Directory history, stack or similar features";"1"
"GEVP";"1"
"POP3 fetch all messages";"1"
"iəŋ";"1"
"Content license";"1"
"RFC 7809 CalDAV time zones by ref.";"1"
"Publication date";"2"
"Website";"3"
"Backward/forward";"1"
"Inverse search[Note 5]";"1"
"FIPS 140-2 support";"1"
"Java viewer";"1"
"Maximum zoom";"1"
"Permitted alcohol level (%)";"1"
"ISO/IEC 29500:2008";"3"
"Pseudorandom number generation";"1"
"Selection editing";"1"
"In-kernel key management";"1"
"Paid support available";"1"
"Profiled User Population";"1"
"REX2";"1"
"Shell server";"1"
"Mach-O";"1"
"Can Users Update Their Own Profile Data?";"1"
"Audio output";"1"
"TLS 1.2[34]";"1"
"GeoTagging Support";"2"
"RFC 4791 CalDAV";"1"
"PAR";"1"
"Audio player";"8"
"Multiple keys";"1"
"PPPoE";"1"
"Word processor";"1"
"Intelligent error handling";"1"
"COLOR";"1"
"PBS";"1"
"Logging";"2"
"Bus interface";"2"
"Implementation language(s)";"4"
"Solaris";"12"
"Changing default policy to accept/reject (by issuing a single rule)";"1"
"CBC w/ random per-sector keys";"1"
"Hosted on-premises";"1"
"Weight";"4"
"MXML";"1"
"Primary developers";"3"
"Desktop Environment";"1"
"iChat Server";"2"
"Toll roads";"1"
"UFS2";"1"
"PCI";"8"
"OnTrac";"2"
"Run by";"1"
"Supported OS";"1"
"Media aggregator";"1"
"Source availability";"1"
"Encrypts";"1"
"Camellia";"1"
"Command history";"1"
"PCX";"1"
"Mercurial";"2"
"Translation system";"1"
"Projects";"1"
"ASF[27]";"3"
"Initial release date";"1"
"HTTP Web seeding";"1"
"Webcam/Video";"1"
"Pulldown claws";"1"
"LADSPA";"1"
"Default file system";"1"
"PDF";"6"
"Language";"20"
"Pitch shift";"1"
"Interlingua";"3"
"HTTPS";"1"
"XTS";"1"
"Other special file systems";"1"
"Add element";"1"
"OpenDocument";"1"
"FTPS (FTP over SSL)";"1"
"Windows CSP";"1"
"User Interface Language(s)";"2"
"Speed";"4"
"concatenate(string1,string2) returns string.";"1"
"Weight, g";"1"
"Rockbox";"1"
"FBURL";"1"
"Encrypted variables/ parameters";"1"
"Polls";"1"
"PEF";"1"
"print";"1"
"Boots from DVD";"1"
"Latest Release";"1"
"Style, clone of";"1"
"Audio battery life (hr)";"1"
"Preposition + demonstrative (Portuguese)";"1"
"show all data in some fields";"1"
"Netboot";"1"
"Image compare";"1"
"Supporting Organization";"1"
"WYSIWYG Editor";"1"
"Developer";"45"
"Reviews and Comments";"1"
"Change color depth";"1"
"Aspect";"2"
"Sailfish OS";"17"
"Hash";"2"
"Trim support";"1"
"Embed audio (sounds, music, hypnosis)";"1"
"DTLS 1.2[28]";"1"
"PCI passthrough";"1"
"List table fields";"1"
"Developer API?";"1"
"GUI";"12"
"Search cloud";"1"
"Wish list";"1"
"Email Security";"2"
"Estimation approach";"1"
"Binaural beats";"1"
"Recursion ACL";"1"
"Follows symlinks";"1"
"Kernel ASLR";"1"
"Multiple TV tuner cards support";"1"
"Adoption & foster parent";"1"
"Functional";"1"
"Anonymous P2P";"1"
"Collapsible sections";"1"
"Full-text";"1"
"SPARC32";"1"
"XScale";"1"
"Pre-boot authentication";"1"
"ADC support";"2"
"Tux3";"1"
"Development platform";"5"
"Teletext";"1"
"Output languages";"4"
"floppy";"1"
"secp521r1 NIST P-521 (25)[81]";"1"
"Implicit directory change";"1"
"Reader";"1"
"Development started";"1"
"Configuration: GUI, text or both modes?";"1"
"Introduced";"4"
"Vorbis comment";"1"
"Activity status (active or dead + RSS news)";"1"
"Enterprise directory compatibility";"1"
"SOM (PA-RISC, HP-UX)";"1"
"YouTube Music";"1"
"PHP";"1"
"Statement separator-terminator";"1"
"High court term";"1"
"Snippets";"1"
"HIDP";"1"
"FDA cleared";"1"
"Ogg";"2"
"AR/AP";"1"
"Heterogeneous/ Homogeneous exec node";"1"
"Parenthesis matching";"1"
"WMA Lossless";"1"
"Approximate Number of Pre-compiled Packages";"1"
"RFC 3253 WebDAV vers.";"1"
"Perforce";"3"
"Embedded tracker";"1"
"cramfs";"1"
"ECDH-ANON[81] (insecure)";"1"
"RFC 4331 WebDAV quota";"1"
"Technique employed";"1"
"Subscription model";"1"
"Publish Capabilities";"1"
"Specifiable index type[13]";"1"
"URLs per file";"1"
"Binary message support";"1"
"Workspace-level permissions";"1"
"Plain text";"2"
"Install-time desktop environment selection";"1"
"Instruction set";"6"
"StarTeam";"1"
"unZip or unRAR";"1"
"Search engine";"1"
"Random seed";"1"
"Raw Public Keys [183]";"1"
"substring(string, startpos, endpos) returns string substr(string, startpos, numChars) returns string";"1"
"Auto resume";"1"
"Symbol";"2"
"OpenVPN";"1"
"Recovery record";"2"
"Twin panel";"1"
"PS, TS[II]";"1"
"Remote";"1"
"Research Networking Tool";"6"
"Metadata indexing";"1"
"Multidimensional";"1"
"Release Year";"1"
"Create";"1"
"Calculator";"2"
"Last metadata change timestamps";"1"
"RFComm.";"1"
"Product image attaching";"1"
"OS required";"1"
"Operating system";"15"
"Integration";"6"
"iOS: iPhone,[Note 1] iPod Touch";"1"
"Interpreter";"2"
"Maximum filename length";"1"
"Spacecraft";"10"
"Cost (USD)";"7"
"MIDI(rmi)";"1"
"Mozilla Firefox";"1"
"Southbridge";"2"
"Filter according to time of day (quota)";"1"
"Syslog";"1"
"Brute-force protection";"1"
"Word for Mac";"1"
"Plugin";"2"
"Origin";"3"
"Discontinued";"1"
"Apple disk image";"1"
"Templates Update Sync";"1"
"Handoff";"1"
"Bits per sample";"2"
"External routine 1";"1"
"PNG";"3"
"Activity";"1"
"Premium";"1"
"Smart card support";"1"
"Wireless synching";"1"
"Link system compatibility";"1"
"Embedded Antivirus";"1"
"Lines to curves cmd. & vice versa";"1"
"Tag flexible[featurenotes 5]";"1"
"Tow rope required";"1"
"Shy groups [Note 2]";"1"
"Maximum amount of memory per VM guest";"1"
"Shell integration";"1"
"Whiteboard";"4"
"BeOS, Haiku";"1"
"Filesystem support";"1"
"Newest products";"1"
"Viewpoint adjustment";"1"
"PayPal Pro";"1"
"BitTorrent library";"4"
"Customize color";"1"
"Can boot an OS on another disk partition as guest";"1"
"POP3 selected by filter";"1"
"Maximum volume size[d]";"1"
"Word size";"1"
"Can open/save PGN";"1"
"Special offers";"1"
"Misc. notes";"1"
"Typical-use failure rate (%)";"1"
"Curve448 Ed448-Goldilocks [153]";"1"
"POS";"1"
"sect283k1 NIST K-283 (9)[81]";"1"
"Workflow system";"1"
"OpenVMS";"7"
"ZIP preview";"1"
"Soft real-time support";"1"
".oeb";"1"
"Metadata";"3"
"Firebird";"2"
"Movement type";"1"
"Sized Printing";"1"
"PPP";"2"
"One-click download";"1"
"F2FS";"1"
"Team";"1"
"Tracker exchange [67]";"1"
"Search full text";"1"
"ReplayGain";"1"
"Main processor";"1"
"System (year)";"1"
"Shared libraries";"1"
"Segmented Downloads[13]";"1"
"Non-native APIs supported through subsystems";"1"
"64-bit";"1"
"ppc[114]";"1"
"File previews";"1"
"Full-text search";"1"
"IMAP4";"1"
"Mandatory facets";"1"
"Fills & hatch";"1"
"Target Users";"1"
"Native support: File systems";"1"
"Frequency";"1"
"Total flights";"1"
"Display";"4"
"Color depth (bpp)";"1"
"Outbound streaming";"1"
"webOS";"1"
"Patent grant";"1"
"TLS 1.2 Suite B";"1"
"Supports references?e";"1"
"Referential integrity";"1"
"Attribute columns";"1"
"Model/database comparison and synchronization";"1"
"Schematic?";"1"
"VT100";"1"
"Hard Disk Pooling";"1"
"Portuguese";"12"
"Software executable space protection";"2"
"Metalink";"1"
"Aperture plate";"1"
"Math function library";"1"
"Luxembourg";"9"
"Dependencies";"1"
"Syntax highlighting";"3"
"PSD";"2"
"2019[171]";"1"
"PSF";"1"
"Use on College Board Standardized Tests[2]";"1"
"Malaysian syllabification";"1"
"Encryption level";"1"
"Mutual auth";"1"
"GOST 28147-89 IMIT[82]";"1"
"Homeowner association";"1"
"Document management";"1"
"PSP";"1"
"$£€¥";"1"
"Stack";"1"
"Type of Networking (Active or Passive)";"1"
"HCI";"1"
"CSS2";"1"
"Lexer";"2"
"SSL/TLS";"1"
"Latin";"2"
"Related paradigm(s)";"1"
"Programming Language";"3"
"Initial Cost";"1"
"Relay";"1"
"Element";"1"
"Maximum file size";"2"
"Country code";"1"
"Bit editing";"1"
"IDEA";"1"
"Year of latest stable version";"1"
"HDR";"1"
"Backreferences [Note 3]";"1"
"Alternation (Brace expansion)";"1"
"Import via in-app Browser";"1"
"Volume modulation for embedded audio";"1"
"Pixel density (in pixels per inch)";"1"
"Title";"4"
"AntiTheft";"5"
"OAuth";"1"
"Push notifications";"1"
"Remote controllable";"1"
"DNSSEC";"1"
"Copy Music";"1"
"Sortable";"1"
"Implementation Language";"2"
"Maemo";"1"
"Google Play (Google TV)";"1"
"Editor";"9"
"Location";"2"
"Xen";"1"
"Capture filter";"1"
"Encryption";"11"
"Language/ Library";"1"
"Extended Master Secret [181]";"1"
"Dojo";"1"
"AntiSpam";"10"
".epub";"2"
"Discovery of other user’s collections";"1"
"Native support: floppy capacities 8.0""";"1"
"Photo support";"1"
"HFS";"2"
"3D Painting";"1"
"Licence";"3"
"IBM PCjr";"1"
"Enable-disable CSS";"1"
"Official name[3]";"4"
"Screen type";"3"
"Namespace";"1"
"John McCain";"1"
"Supported format(s)";"1"
"Turkey";"9"
"Visualizer";"1"
"Budget management";"1"
"Examples";"2"
"Indonesian meaning";"1"
"Opera";"1"
"X25519 [152]";"1"
"Description";"12"
"FLAC";"3"
"iPod touch/ iPhone FW 2.x";"1"
"Gift certificates";"1"
"Form based";"1"
"Search Unicode";"1"
"split horizon";"1"
"Year launched";"5"
"AEAD";"1"
"Autocompletion of LaTeX commands";"1"
"Same sex marriage";"1"
"Linux/Unix";"1"
"5th Gen. nano Firmware";"1"
"RFC 5995 WebDAV POST add member";"1"
"Private following list";"1"
"IBM PC";"1"
"Rover (mission, organization, year)";"1"
"Supported Database Platforms";"1"
"All metadata search [D 4]";"1"
"Cost (per year)";"1"
"Visual schema/model/E-R diagram design";"1"
"Max # operands";"1"
"Thrust (N)[a]";"2"
"SITX";"1"
"Max table size";"1"
"Default login shell in";"1"
"Here document";"1"
"Kaypro";"1"
"SHA-3";"1"
"Screen size (in)";"1"
"SHA-2";"1"
"SHA-1";"1"
"Windows Mobile (incl.Pocket PC)";"1"
"Last access/ read timestamps";"1"
"Target market";"2"
"Named Sets";"1"
"2008[160]";"1"
"Native network encryption1";"1"
"Pagination";"1"
"Speed limit on dual carriageway (km/h)";"1"
"Spanish";"12"
"Telnet triggers";"1"
"Single parent family";"1"
"Automatic pongs for pings";"1"
"LFN support";"2"
"Input format";"2"
"Systems";"1"
"HSBC CPI";"1"
"Safe data subset";"1"
"Mobiles";"1"
"Git";"4"
"FLV[I]";"1"
"Brightness Control";"1"
"Lens distortion correcting";"1"
"sect193r2 (5)[81]";"1"
"Software";"39"
"Chromium[44]";"1"
"Disk sector editing";"1"
"Day/Night mode";"1"
"Supports Gapless Metadata";"1"
"Other import via";"1"
"img";"1"
"Book- marking";"1"
"Online shrink";"1"
"Danish meaning";"1"
"Backup";"5"
"Knowledge Tags";"1"
"SEO URLs";"1"
"Kernel programming language";"1"
"Podcasting";"1"
"Command argument completion";"1"
"sect233r1 NIST B-233 (7)[81]";"1"
"Block size";"1"
"Indexed";"1"
"Multi-user support";"1"
"Physical Size (inches)";"1"
"Secondary mode";"1"
"Starz Play";"1"
"zlib";"1"
"File System";"1"
"Time tracking";"1"
"NMDC hub";"1"
"Size, mm";"1"
"Android1";"1"
"La malbela maljunulino mallaŭte malfermis la pordon al sia kelo kaj malrapide malsupreniris la ŝtuparon.";"1"
"Other platforms?";"2"
"AngularJS";"1"
"Forms";"1"
"Formula editor";"1"
"Find text in buffer";"1"
"Range (km)";"2"
"String";"3"
"Latest version";"7"
"Books tag";"1"
"DHE-RSA (forward secrecy)[34]";"1"
"CBC w/ secret IVs";"1"
"Profiler";"7"
"Linear arrays or lists";"1"
"Windows 7, Vista";"1"
"quota";"1"
"Digital signature";"1"
"Depth (mm)";"1"
"ECOFF";"1"
"3-way comparison";"1"
"AmigaOS 4, MorphOS (PPC)";"1"
"RIPEMD-256";"1"
"UltraFlix";"1"
"TPM support";"1"
"SEND T";"2"
"Highest ISO";"1"
"Rebuild iPod Database";"1"
"Scoring model";"1"
"MIB Compiler";"1"
"Internal media storage";"2"
"Author";"2"
"QTVR";"1"
"Tome Raider[h 1]";"1"
"Object limit per document";"1"
"HPD";"1"
"NeXTSTEP";"1"
"Last revision";"1"
"Reverse engineering";"2"
"Contains CAS";"1"
"Multi-page";"1"
"EOR[18]";"1"
"JPEG";"3"
"Auto-complete";"1"
"Dynamic typing";"1"
"Microsoft Office Open XML support";"1"
"Mass (g)[6]";"1"
"Newsletter";"1"
"Axiis";"1"
"French";"2"
"Autoscroll by line";"1"
"C++ Templates";"1"
"Stripe";"1"
"Delete table";"1"
"Whole disk";"1"
"Bazaar";"1"
"Offline support";"1"
"bin/cue";"1"
"Blue (E-CD)";"1"
"Unicode support";"7"
"VIA PadLock";"1"
"Server Operating System";"1"
"Thumbnails";"2"
"ATI official driver x86-64";"1"
"Helm chart";"1"
"Subsystem isolation mechanisms";"1"
"Code name";"1"
"Rainbow 100";"1"
"NMDC[1] hub";"1"
"Ancestor charts";"1"
"MMS (MMSU, MMST)";"1"
"Outbound firewall (egress)";"1"
"Export as sound file";"1"
"Interface";"7"
"Socket";"1"
"Parental Control";"5"
"Dynamically-sized";"1"
"CTCP";"2"
"HRM";"1"
"Triangle required";"1"
"Founded";"1"
"Russian";"1"
"Email";"2"
"Progress indicator";"2"
"Max Torque";"1"
"Panel tabs";"1"
"Viewfinder";"1"
"PS, TS[33]";"2"
"Creator";"76"
"Founder";"1"
"Spell-checking";"1"
"DTLS 1.0[35]";"1"
"TUN/TAP";"1"
"Event-driven";"1"
"MIDI(kar)";"1"
"Filename extension";"4"
"Interlacing";"1"
"Rectilinear lenses (i.e. normal camera lenses)";"1"
"Go To";"1"
"Encoding";"1"
"Triggers";"1"
"HSV";"1"
"Supports non-monogamous connections";"1"
"Brand";"3"
"Multiple store fronts";"1"
"Issue Tracking System";"1"
"Featured products";"1"
"Transceiver Chip";"1"
"Optional dependencies";"1"
"Examples of support of implementation of estimation approach";"1"
"MongoDB";"1"
"6th Gen. Firmware";"1"
"Coupons";"1"
"Virtualization";"1"
"Speeds (external)";"1"
"Multi-line matching";"1"
"Timers";"1"
"Yellow (CD-ROM)";"1"
"Schedule estimate";"1"
"Bound check";"1"
"Project management software";"1"
"Playback while charging";"1"
"Mac1";"1"
"Book search";"1"
"Vectorized operations";"1"
"Comic Book";"1"
"Usage examples (approx.)";"1"
"Insert SWF";"1"
"Name variants";"1"
"Fox Now";"1"
"ReiserFS";"2"
"Harvard";"1"
"USB, eSATA and removable drives";"1"
"Software license";"43"
"A&E";"1"
"FAT32";"3"
"Applications";"1"
"Transcoding";"1"
"Binary comparison";"1"
"# levels in hierarchy";"1"
"Market focus";"2"
"HBO GO";"1"
"Tonemapping";"1"
"MCCP[20][21]";"1"
"Range, μR/h";"1"
"Recursive";"1"
"Self-hosting";"1"
"SASL";"1"
"Tag mass";"1"
"Deep Pixel Rendering";"1"
"Beige (PCD)";"1"
"Class: Home / Professional";"1"
"Type checker";"1"
"Editing style[Note 1]";"1"
"Users";"1"
"Efficient Redundancy";"1"
"OOXML .docx";"1"
"Text-to-speech";"2"
"Forum";"1"
"Macros/templates";"1"
"Green (CD-I)";"1"
"Isochronic tones";"1"
"Maximum lift height";"5"
"Subtitles[2]";"1"
"Visual styles";"1"
"Gui";"1"
"TSEND";"2"
"SATA";"9"
"Ralph Nader";"1"
"Platforms";"7"
"FAT12";"3"
"Data rate";"1"
"Protocol stacks";"1"
"FAT16";"3"
"Intel QAT";"1"
"VDI (VirtualBox)";"1"
"CA Certificates";"1"
"HDMI out";"1"
"Gapless audio decoding";"1"
"Direct Drive";"1"
"Mfg. country";"1"
"x86, i386, IA-32";"1"
"RTL8139";"1"
"Semi-additive measures";"1"
"NTFS";"5"
"Animation[9]";"1"
"Bits";"1"
"Model[edit]";"1"
"MultiPolyline";"1"
"Disney Channel";"1"
"Viewfinder coverage";"1"
"Joliet";"1"
"Spatial Visualization";"1"
"Persistence Specification";"1"
"Long filename support";"1"
"Builders: Windows";"1"
"Working State";"1"
"physical disk / device";"1"
"Client (library)";"1"
"Bayesian filters";"1"
"Founded year";"1"
"Full name";"1"
"Author, creator";"1"
"Supported decompression";"1"
"Operating Systems on which it runs?";"1"
"Web browser integration";"1"
"Digital audio editor";"2"
"GOST";"1"
"Continuous scrolling";"1"
"Fabri- cation";"1"
"SSL 3.0 (insecure)[31]";"1"
"# dimensions in cube";"1"
"Enable/Disable CSS";"1"
"Flat file";"2"
"Audio out";"1"
"Command builder";"1"
"Suction lift ?";"5"
"S No.";"1"
"Compression";"2"
"Null";"2"
"Moved lines";"1"
"Common Table Expressions";"1"
"Machine model";"1"
"Bzip2/BZ2 ZIPx";"1"
"Live-Update";"4"
"Special device profiles (e.g. iPhone)";"1"
"Create table";"1"
"Batch download";"1"
"Copy Smart Playlists";"1"
"File archivers";"4"
"Imperative";"2"
"Non-destructive editing";"1"
"Two-way Remote Control";"1"
"Customize font";"1"
"feature, example usage";"1"
